Number of Samples	Sampling Rate (Hz)
1024.000000	22000.000000

Time (s)	Time History Channel 0	Frequency (Hz)	Power Spectrum Channel 0
0.000000	2.723724	0.000000	2.494336
0.000045	3.511400	21.484375	0.023946
0.000091	4.174706	42.968750	0.042731
0.000136	4.734371	64.453125	0.027864
0.000182	4.941654	85.937500	0.020589
0.000227	4.941654	107.421875	0.038300
0.000273	4.962382	128.906250	0.017416
0.000318	4.941654	150.390625	0.025265
0.000364	4.941654	171.875000	0.051142
0.000409	3.988152	193.359375	0.023922
0.000455	3.159019	214.843750	0.010095
0.000500	2.350615	236.328125	0.038673
0.000545	1.562939	257.812500	0.040432
0.000591	0.899632	279.296875	0.018440
0.000636	0.298512	300.781250	0.028034
0.000682	0.049771	322.265625	0.035217
0.000727	0.049771	343.750000	0.024963
0.000773	0.029043	365.234375	0.029621
0.000818	0.049771	386.718750	0.040911
0.000864	0.049771	408.203125	0.031623
0.000909	1.210557	429.687500	0.028448
0.000955	1.832407	451.171875	0.037413
0.001000	2.640811	472.656250	0.036001
0.001045	3.407759	494.140625	0.032590
0.001091	4.153978	515.625000	0.034304
0.001136	4.713643	537.109375	0.039639
0.001182	4.962382	558.593750	0.037335
0.001227	4.941654	580.078125	0.040633
0.001273	4.941654	601.562500	0.038831
0.001318	4.941654	623.046875	0.043547
0.001364	4.941654	644.531250	0.048049
0.001409	3.801597	666.015625	0.043903
0.001455	3.013921	687.500000	0.053970
0.001500	2.246973	708.984375	0.053796
0.001545	1.521482	730.468750	0.059678
0.001591	0.858175	751.953125	0.059447
0.001636	0.319240	773.437500	0.062459
0.001682	0.049771	794.921875	0.070375
0.001727	0.049771	816.406250	0.084136
0.001773	0.049771	837.890625	0.087839
0.001818	0.049771	859.375000	0.099841
0.001864	0.049771	880.859375	0.116973
0.001909	1.106915	902.343750	0.144946
0.001955	1.790950	923.828125	0.178898
0.002000	2.620083	945.312500	0.255483
0.002045	3.366302	966.796875	0.412806
0.002091	4.071065	988.281250	1.253352
0.002136	4.651458	1009.765625	1.183211
0.002182	4.962382	1031.250000	0.388904
0.002227	4.941654	1052.734375	0.241731
0.002273	4.941654	1074.218750	0.161765
0.002318	4.941654	1095.703125	0.123320
0.002364	4.941654	1117.187500	0.106284
0.002409	3.905238	1138.671875	0.087191
0.002455	3.076106	1160.156250	0.073745
0.002500	2.309158	1181.640625	0.067707
0.002545	1.542211	1203.125000	0.062034
0.002591	0.858175	1224.609375	0.048397
0.002636	0.319240	1246.093750	0.046000
0.002682	0.049771	1267.578125	0.046332
0.002727	0.049771	1289.062500	0.035798
0.002773	0.049771	1310.546875	0.036370
0.002818	0.029043	1332.031250	0.038904
0.002864	0.049771	1353.515625	0.027375
0.002909	1.127644	1375.000000	0.024900
0.002955	1.790950	1396.484375	0.029994
0.003000	2.578626	1417.968750	0.030320
0.003045	3.345573	1439.453125	0.024092
0.003091	4.071065	1460.937500	0.018139
0.003136	4.713643	1482.421875	0.022231
0.003182	4.941654	1503.906250	0.030387
0.003227	4.941654	1525.390625	0.017873
0.003273	4.941654	1546.875000	0.014883
0.003318	4.941654	1568.359375	0.022063
0.003364	4.941654	1589.843750	0.018354
0.003409	3.760140	1611.328125	0.007145
0.003455	2.993193	1632.812500	0.019670
0.003500	2.246973	1654.296875	0.019012
0.003545	1.542211	1675.781250	0.004034
0.003591	0.920361	1697.265625	0.017144
0.003636	0.402153	1718.750000	0.021099
0.003682	0.049771	1740.234375	0.015618
0.003727	0.029043	1761.718750	0.003027
0.003773	0.049771	1783.203125	0.015983
0.003818	0.049771	1804.687500	0.011652
0.003864	0.049771	1826.171875	0.013946
0.003909	1.024002	1847.656250	0.014890
0.003955	1.687308	1869.140625	0.012901
0.004000	2.495713	1890.625000	0.003154
0.004045	3.324845	1912.109375	0.017618
0.004091	4.050337	1933.593750	0.006338
0.004136	4.651458	1955.078125	0.009115
0.004182	4.962382	1976.562500	0.013204
0.004227	4.941654	1998.046875	0.016842
0.004273	4.941654	2019.531250	0.009040
0.004318	4.941654	2041.015625	0.006614
0.004364	4.941654	2062.500000	0.006937
0.004409	4.029609	2083.984375	0.013322
0.004455	3.200476	2105.468750	0.018577
0.004500	2.433528	2126.953125	0.008843
0.004545	1.687308	2148.437500	0.005497
0.004591	0.961818	2169.921875	0.010062
0.004636	0.381424	2191.406250	0.008447
0.004682	0.049771	2212.890625	0.016638
0.004727	0.029043	2234.375000	0.006785
0.004773	0.049771	2255.859375	0.002998
0.004818	0.029043	2277.343750	0.003607
0.004864	0.049771	2298.828125	0.002632
0.004909	1.065459	2320.312500	0.011017
0.004955	1.749494	2341.796875	0.006237
0.005000	2.537169	2363.281250	0.009353
0.005045	3.345573	2384.765625	0.004711
0.005091	4.050337	2406.250000	0.002206
0.005136	4.630730	2427.734375	0.004350
0.005182	4.941654	2449.218750	0.002452
0.005227	4.941654	2470.703125	0.003095
0.005273	4.941654	2492.187500	0.000768
0.005318	4.941654	2513.671875	0.004320
0.005364	4.941654	2535.156250	0.005310
0.005409	4.008880	2556.640625	0.006338
0.005455	3.221204	2578.125000	0.001075
0.005500	2.454256	2599.609375	0.003752
0.005545	1.666580	2621.093750	0.005572
0.005591	0.961818	2642.578125	0.002386
0.005636	0.381424	2664.062500	0.002843
0.005682	0.049771	2685.546875	0.004434
0.005727	0.029043	2707.031250	0.003588
0.005773	0.049771	2728.515625	0.001570
0.005818	0.029043	2750.000000	0.003813
0.005864	0.049771	2771.484375	0.001383
0.005909	1.065459	2792.968750	0.001543
0.005955	1.728765	2814.453125	0.005480
0.006000	2.516441	2835.937500	0.003998
0.006045	3.324845	2857.421875	0.003349
0.006091	4.029609	2878.906250	0.001256
0.006136	4.610002	2900.390625	0.006466
0.006182	4.941654	2921.875000	0.006975
0.006227	4.962382	2943.359375	0.017756
0.006273	4.941654	2964.843750	0.019596
0.006318	4.941654	2986.328125	0.086571
0.006364	4.941654	3007.812500	0.085211
0.006409	4.133250	3029.296875	0.021575
0.006455	3.345573	3050.781250	0.020165
0.006500	2.537169	3072.265625	0.007021
0.006545	1.728765	3093.750000	0.011467
0.006591	0.982546	3115.234375	0.010680
0.006636	0.360696	3136.718750	0.009681
0.006682	0.049771	3158.203125	0.011766
0.006727	0.029043	3179.687500	0.012557
0.006773	0.049771	3201.171875	0.007291
0.006818	0.049771	3222.656250	0.004782
0.006864	0.049771	3244.140625	0.007476
0.006909	1.044730	3265.625000	0.006503
0.006955	1.728765	3287.109375	0.004875
0.007000	2.537169	3308.593750	0.008792
0.007045	3.304117	3330.078125	0.007653
0.007091	4.029609	3351.562500	0.003459
0.007136	4.610002	3373.046875	0.003058
0.007182	4.941654	3394.531250	0.006352
0.007227	4.941654	3416.015625	0.007599
0.007273	4.941654	3437.500000	0.006907
0.007318	4.941654	3458.984375	0.003749
0.007364	4.962382	3480.468750	0.005670
0.007409	4.879470	3501.953125	0.008156
0.007455	3.345573	3523.437500	0.003756
0.007500	2.433528	3544.921875	0.004214
0.007545	1.521482	3566.406250	0.005399
0.007591	0.733806	3587.890625	0.006461
0.007636	0.194870	3609.375000	0.003846
0.007682	0.049771	3630.859375	0.005521
0.007727	0.029043	3652.343750	0.005720
0.007773	0.029043	3673.828125	0.009458
0.007818	0.049771	3695.312500	0.005258
0.007864	0.049771	3716.796875	0.003968
0.007909	1.127644	3738.281250	0.012532
0.007955	1.749494	3759.765625	0.002405
0.008000	2.495713	3781.250000	0.003866
0.008045	3.241932	3802.734375	0.007425
0.008091	3.925967	3824.218750	0.017427
0.008136	4.506360	3845.703125	0.006607
0.008182	4.941654	3867.187500	0.006983
0.008227	4.962382	3888.671875	0.005866
0.008273	4.962382	3910.156250	0.004458
0.008318	4.941654	3931.640625	0.007107
0.008364	4.941654	3953.125000	0.012793
0.008409	4.444175	3974.609375	0.008115
0.008455	3.407759	3996.093750	0.004626
0.008500	2.412800	4017.578125	0.004018
0.008545	1.542211	4039.062500	0.010855
0.008591	0.671621	4060.546875	0.003552
0.008636	0.111957	4082.031250	0.007344
0.008682	0.049771	4103.515625	0.008256
0.008727	0.029043	4125.000000	0.007488
0.008773	0.029043	4146.484375	0.002690
0.008818	0.049771	4167.968750	0.005871
0.008864	0.029043	4189.453125	0.003895
0.008909	0.713078	4210.937500	0.001272
0.008955	1.645852	4232.421875	0.006489
0.009000	2.371343	4253.906250	0.006954
0.009045	3.159019	4275.390625	0.002131
0.009091	3.780869	4296.875000	0.001749
0.009136	4.423447	4318.359375	0.003149
0.009182	4.817285	4339.843750	0.003675
0.009227	4.920926	4361.328125	0.008158
0.009273	4.941654	4382.812500	0.005951
0.009318	4.920926	4404.296875	0.001498
